"hsa-miR-22"
"has-miR-199a*"
"[hsa-miR-21]"
"hsa-miR-23a"
"hsa-miR-26a"
"hsa-miR-101"
"hsa-miR-19a"
"hsa-miR-34a"
"hsa-miR-1"
"hsa-miR-130a"
"hsa-miR-196a"
"hsa-let-7b"
"hsa-miR-141"
"hsa-miR-24"
"hsa-miR-145"
"hsa-let-7e"
"hsa-miR-15a"
"hsa-miR-16"
"hsa-miR-199b-5p"
"hsa-miR-103"
"hsa-miR-143"
"hsa-miR-124"
"hsa-miR-373"
"hsa-let-7a"
"hsa-miR-20a"
"hsa-miR-24-1*"
"hsa-miR-125a-5p"
"hsa-miR-125b"
"hsa-miR-30a*"
"hsa-miR-223"
"hsa-miR-221"
"hsa-miR-222"
"hsa-miR-106a"
"hsa-miR-181a"
"hsa-miR-10a"
"hsa-miR-372"
"hsa-miR-155"
"hsa-miR-127-3p"
"hsa-miR-17"
"hsa-miR-27b"
"[miR-129]"
"[miR-23b]"
"[miR-24]"
"[miR-27b]"
"[miR-30a]"
"[miR-34a]"
"hsa-miR-29b"
"hsa-miR-181b"
"hsa-miR-133b"
"hsa-miR-98"
"hsa-miR-206"
"hsa-miR-376a*"
"hsa-miR-133a"
"hsa-miR-21"
"hsa-miR-9"
"[miR-143]"
"[miR-132]"
"[miR-219]"
"hsa-miR-96"
"hsa-miR-182"
"hsa-let-7c"
"hsa-let-7g"
"hsa-miR-122"
"hsa-miR-370"
"hsa-miR-203"
"[miR-29b]"
"[miR-26a]"
"hsa-miR-107"
"[miR-26b]"
"[miR-141]"
"[miR-99b]"
"[miR-99a]"
"[let-7a]"
"hsa-let-7i"
"[miR-130a]"
"hsa-miR-424*"
"hsa-miR-29a"
"hsa-miR-29c"
"hsa-miR-10b"
"hsa-miR-200b"
"hsa-miR-429"
"hsa-miR-218"
"[miR-27a]"
"[miR-20a]"
"hsa-miR-424"
"[miR-122]"
"hsa-miR-378*"
"hsa-miR-212"
"[miR-335]"
"hsa-miR-520h"
"hsa-miR-129-5p"
"[miR-520c]"
"hsa-miR-126*"
"hsa-miR-214"
"[miR-106b]"
"hsa-miR-126"
"hsa-miR-433"
"hsa-miR-148a"
"hsa-miR-224"
"[miR-20b]"
"hsa-miR-34b*"
"[miR-93]"
"hsa-miR-140-5p"
"[miR-302d]"
"[miR-373]"
"hsa-miR-147"
"[miR-330]"
"[miR-378]"
"hsa-miR-205"
"hsa-miR-504"
"hsa-miR-520g"
"[miR-106a]"
"hsa-miR-148b"
"hsa-miR-200a"
"hsa-miR-137"
"hsa-miR-193a-3p"
"[miR-200]"
"hsa-miR-210"
"hsa-miR-15b"
"hsa-miR-7"
"[miR-16-1]"
"hsa-miR-200c"
"hsa-miR-150"
"hsa-mir-328"
"[hsa-let-7f]"
"hsa-miR-146a"
"hsa-miR-519c-3p"
"hsa-miR-132"
"hsa-miR-657"
"hsa-miR-510"
"[hsa-miR-17-92]"
"hsa-miR-135a"
"hsa-miR-135b"
"[hsa-miR-30a]"
"hsa-miR-451"
"[hsa-miR-146a]"
"[hsa-miR-150]"
"[has-mir-186]"
"hsa-miR-520c-3p"
"hsa-miR-338-3p"
"hsa-let-7d"
"[hsa-miR-17]"
"[hsa-miR-424]"
"[hsa-miR-195]"
"hsa-miR-302a"
"[hsa-miR-377]"
"hsa-miR-659"
"[hsa-miR-19b]"
"[hsa-miR-19a]"
"[hsa-miR-32]"
"[hsa-miR-25]"
"[hsa-miR-181b]"
"[hsa-miR-181a]"
"[hsa-miR-106b]"
"[hsa-miR-93]"
"hsa-miR-324-5p"
"hsa-miR-326"
"[hsa-miR-130a]"
"[hsa-miR-101]"
"hsa-miR-27a"
"[hsa-miR-34b]"
"[hsa-miR-34c]"
"[hsa-miR-34a]"
"hsa-miR-128"
"[hsa-miR-183]"
"[has-miR-320]"
"hsa-miR-204"
"[hsa-miR-141]"
"hsa-miR-302b"
"[has-miR-15a]"
"[has-miR-16]"
"[miR-17-19b-1]"
"[P-2]"
"[P-27??p]"
"hsa-miR-296-5p"
"hsa-miR-346"
"[hsa-miR-199a]"
"hsa-miR-320a"
"hsa-miR-192"
"hsa-miR-106b"
"hsa-miR-520b"
"hsa-miR-9*"
"[hsa-let-7b]"
"hsa-miR-513a-5p"
"[hsa-miR-373]"
"[hsa-mir-520c]"
"[hsa-miR-218]"
"[has-mir-106a]"
"[has-mir-106b]"
"[has-let-71f1]"
"[has-let-7a3b]"
"hsa-miR-30e"
"hsa-miR-30c"
"hsa-miR-302d"
"[hsa-miR-29a]"
"hsa-miR-146b-5p"
"hsa-miR-184"
"hsa-miR-605"
"hsa-miR-532-5p"
"hsa-miR-92-1"
"hsa-miR-449a"
